% f evaluations | g evaluations | best noise-free fitness - Fopt (7.135000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
203 0 +9.690136319e+00 -3.455298637e+02 -3.455298637e+02 -9.3793e-01 +2.6215e+00 +1.1030e+00 -5.2483e-01 -3.0155e-01
204 0 +8.091659349e+00 -3.471283407e+02 -3.471283407e+02 -9.8707e-01 +2.6957e+00 +1.1013e+00 -4.6309e-01 -3.7070e-01
226 0 +7.652206307e+00 -3.475677937e+02 -3.475677937e+02 -9.3593e-01 +2.5979e+00 +1.0874e+00 -3.9931e-01 -3.5591e-01
233 0 +5.699421880e+00 -3.495205781e+02 -3.495205781e+02 -9.1966e-01 +2.5939e+00 +1.0983e+00 -4.4370e-01 -3.2579e-01
298 0 +5.602523109e+00 -3.496174769e+02 -3.496174769e+02 -9.3305e-01 +2.6020e+00 +1.1148e+00 -4.3741e-01 -3.2786e-01
330 0 +5.330111761e+00 -3.498898882e+02 -3.498898882e+02 -9.2799e-01 +2.6044e+00 +1.1156e+00 -4.2118e-01 -3.3534e-01
356 0 +5.161687170e+00 -3.500583128e+02 -3.500583128e+02 -9.2928e-01 +2.6131e+00 +1.1199e+00 -4.1496e-01 -3.3992e-01
363 0 +4.867313233e+00 -3.503526868e+02 -3.503526868e+02 -9.3375e-01 +2.6267e+00 +1.1211e+00 -4.1637e-01 -3.3955e-01
372 0 +4.776103009e+00 -3.504438970e+02 -3.504438970e+02 -9.3320e-01 +2.6196e+00 +1.1221e+00 -4.1390e-01 -3.3957e-01
385 0 +4.448153071e+00 -3.507718469e+02 -3.507718469e+02 -9.3950e-01 +2.6365e+00 +1.1294e+00 -4.2025e-01 -3.3529e-01
401 0 +4.296459971e+00 -3.509235400e+02 -3.509235400e+02 -9.4285e-01 +2.6430e+00 +1.1312e+00 -4.2224e-01 -3.3370e-01
433 0 +4.220131262e+00 -3.509998687e+02 -3.509998687e+02 -9.4191e-01 +2.6408e+00 +1.1314e+00 -4.2083e-01 -3.3537e-01
457 0 +4.112177124e+00 -3.511078229e+02 -3.511078229e+02 -9.4312e-01 +2.6436e+00 +1.1325e+00 -4.2209e-01 -3.3443e-01
478 0 +4.034325965e+00 -3.511856740e+02 -3.511856740e+02 -9.4275e-01 +2.6429e+00 +1.1323e+00 -4.2214e-01 -3.3458e-01
504 0 +4.034325965e+00 -3.511856740e+02 -3.511856740e+02 -9.4275e-01 +2.6429e+00 +1.1323e+00 -4.2214e-01 -3.3458e-01
% f evaluations | g evaluations | best noise-free fitness - Fopt (9.917000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +7.494797054e+01 +1.741179705e+02 +1.741179705e+02 -2.4401e-01 +1.4594e-01 -2.1687e-01 +4.9101e-01 +8.5537e-01
2 0 +4.968113138e+01 +1.488511314e+02 +1.488511314e+02 +2.8907e-01 -3.7423e-01 -5.5799e-01 +6.1941e-02 +1.7361e-01
14 0 +3.983379961e+01 +1.390037996e+02 +1.390037996e+02 +1.1940e-01 +1.9247e-01 -6.4542e-01 +4.1401e-01 -6.2850e-01
37 0 +3.440812053e+01 +1.335781205e+02 +1.335781205e+02 -2.8925e-01 -2.5076e-01 -4.3370e-01 +6.0038e-01 -8.4858e-01
50 0 +2.600157252e+01 +1.251715725e+02 +1.251715725e+02 -4.3651e-01 -1.3694e-01 -1.2270e-01 +1.0204e+00 -1.1443e+00
73 0 +2.126940008e+01 +1.204394001e+02 +1.204394001e+02 +1.0526e-01 +2.8593e-01 -4.5578e-02 +9.3378e-01 -1.2302e+00
76 0 +1.993529896e+01 +1.191052990e+02 +1.191052990e+02 +1.9214e-01 +1.9421e-01 -4.3054e-01 +4.6278e-01 -1.0995e+00
79 0 +1.246851241e+01 +1.116385124e+02 +1.116385124e+02 -5.0789e-01 +9.0902e-01 -5.4856e-01 +9.8804e-01 -9.7639e-01
121 0 +6.866215564e+00 +1.060362156e+02 +1.060362156e+02 -4.7791e-01 +4.5203e-01 -4.2639e-01 +7.7117e-01 -1.4480e+00
199 0 +6.142261596e+00 +1.053122616e+02 +1.053122616e+02 -1.3835e-01 +6.9391e-01 -1.4061e-01 +7.2015e-01 -1.2695e+00
214 0 +5.474601410e+00 +1.046446014e+02 +1.046446014e+02 -1.2719e-01 +7.0534e-01 -1.8484e-02 +6.6843e-01 -1.3080e+00
218 0 +4.471974749e+00 +1.036419747e+02 +1.036419747e+02 -1.3433e-01 +7.0577e-01 +2.1278e-02 +6.8020e-01 -1.3327e+00
239 0 +4.311726226e+00 +1.034817262e+02 +1.034817262e+02 -1.2535e-01 +6.8641e-01 +2.1678e-02 +6.8430e-01 -1.3499e+00
293 0 +3.991552020e+00 +1.031615520e+02 +1.031615520e+02 -1.4825e-01 +6.9368e-01 +8.3978e-02 +6.6429e-01 -1.3057e+00
326 0 +3.966598090e+00 +1.031365981e+02 +1.031365981e+02 -1.5136e-01 +6.9965e-01 +7.1572e-02 +6.6602e-01 -1.3077e+00
332 0 +3.757230032e+00 +1.029272300e+02 +1.029272300e+02 -1.5203e-01 +7.0124e-01 +7.1804e-02 +6.6387e-01 -1.3052e+00
367 0 +3.475900950e+00 +1.026459009e+02 +1.026459009e+02 -1.5544e-01 +7.0490e-01 +7.2838e-02 +6.6125e-01 -1.3054e+00
388 0 +3.462690046e+00 +1.026326900e+02 +1.026326900e+02 -1.5643e-01 +7.0768e-01 +6.7633e-02 +6.6172e-01 -1.3034e+00
398 0 +3.367965780e+00 +1.025379658e+02 +1.025379658e+02 -1.5555e-01 +7.0588e-01 +7.0329e-02 +6.6161e-01 -1.3051e+00
504 0 +3.327341764e+00 +1.024973418e+02 +1.024973418e+02 -1.5628e-01 +7.0655e-01 +6.9110e-02 +6.6135e-01 -1.3035e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt (-5.179100000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +4.357829303e+01 -4.743317070e+02 -4.743317070e+02 -3.9367e-01 +3.8076e-03 -2.3949e-01 +3.5447e-01 +3.0196e-02
2 0 +1.553846682e+01 -5.023715332e+02 -5.023715332e+02 -2.8670e-01 -1.7764e-02 +4.2061e-01 +2.4639e-01 -3.2457e-01
22 0 +1.331559257e+01 -5.045944074e+02 -5.045944074e+02 -2.2951e-01 +3.6389e-01 +1.7175e-01 +1.2487e-01 -2.9937e-01
42 0 +1.301654795e+01 -5.048934520e+02 -5.048934520e+02 +1.5600e-01 +3.6874e-01 +2.0011e-03 +9.7608e-02 -1.1069e+00
53 0 +1.128799937e+01 -5.066220006e+02 -5.066220006e+02 +5.9882e-02 +1.4260e-01 +2.2780e-01 +4.5661e-01 -1.4396e-01
58 0 +1.091607843e+01 -5.069939216e+02 -5.069939216e+02 -8.5006e-02 +5.1985e-01 +6.9696e-03 +3.6569e-01 -4.9021e-01
82 0 +8.950711901e+00 -5.089592881e+02 -5.089592881e+02 +6.0591e-02 +8.7019e-01 -1.0593e-01 +3.8910e-01 -7.7266e-01
86 0 +5.675187506e+00 -5.122348125e+02 -5.122348125e+02 -6.0587e-02 +7.4375e-01 -2.4502e-01 +8.0508e-01 -6.5987e-01
93 0 +4.621153944e+00 -5.132888461e+02 -5.132888461e+02 -1.3632e-01 +9.1642e-01 -2.8795e-01 +7.8467e-01 -7.2601e-01
147 0 +3.216097856e+00 -5.146939021e+02 -5.146939021e+02 -1.3965e-01 +8.3564e-01 -2.0805e-01 +7.9096e-01 -7.4926e-01
170 0 +2.740344381e+00 -5.151696556e+02 -5.151696556e+02 -1.0640e-01 +7.7586e-01 -2.0240e-01 +8.4657e-01 -7.2624e-01
