% f evaluations | g evaluations | best noise-free fitness - Fopt (-5.235000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
241 0 +8.443678216e-01 -5.150563218e+01 -5.150563218e+01 -1.4403e+00 -1.3774e+00 +2.4079e+00 -2.4521e+00 -8.2920e-01 +4.2843e+00 -3.5141e+00 -2.2589e-05 +2.5587e+00 -1.2840e+00
258 0 +7.265588478e-01 -5.162344115e+01 -5.162344115e+01 -1.3230e+00 -1.0151e+00 +2.8164e+00 -2.0941e+00 -1.1104e+00 +3.5376e+00 -3.5981e+00 -2.8536e-01 +2.4942e+00 -9.5417e-01
266 0 +4.225391782e-01 -5.192746082e+01 -5.192746082e+01 -1.0620e+00 -1.0231e+00 +2.2340e+00 -2.1040e+00 -1.0670e+00 +3.7447e+00 -3.4332e+00 +3.6613e-01 +3.0156e+00 -1.4663e+00
272 0 +3.514321269e-01 -5.199856787e+01 -5.199856787e+01 -8.3656e-01 -7.8030e-01 +2.2912e+00 -2.5186e+00 -1.3920e+00 +4.0710e+00 -3.8708e+00 +1.5270e-01 +2.9781e+00 -1.8487e+00
284 0 +3.133901046e-01 -5.203660990e+01 -5.203660990e+01 -8.9521e-01 -1.2454e+00 +2.7580e+00 -2.1313e+00 -1.1095e+00 +4.0598e+00 -3.7180e+00 +3.9762e-01 +2.9051e+00 -1.5312e+00
290 0 +2.943401218e-01 -5.205565988e+01 -5.205565988e+01 -1.0353e+00 -1.0510e+00 +2.4714e+00 -2.2130e+00 -1.2040e+00 +3.9672e+00 -3.3726e+00 +3.9256e-02 +2.5548e+00 -1.7189e+00
318 0 +2.471877204e-01 -5.210281228e+01 -5.210281228e+01 -1.0147e+00 -1.2831e+00 +2.3969e+00 -2.5214e+00 -1.6352e+00 +3.5127e+00 -4.0131e+00 +2.3912e-01 +2.7228e+00 -1.3144e+00
331 0 +2.085593373e-01 -5.214144066e+01 -5.214144066e+01 -9.2763e-01 -1.0769e+00 +2.4529e+00 -2.2619e+00 -1.3300e+00 +4.0088e+00 -3.6988e+00 +1.2695e-03 +2.6220e+00 -1.8459e+00
335 0 +1.853308448e-01 -5.216466916e+01 -5.216466916e+01 -9.5994e-01 -9.4405e-01 +2.6234e+00 -2.3198e+00 -1.4616e+00 +3.7044e+00 -4.1961e+00 -1.3517e-01 +2.9029e+00 -1.7601e+00
352 0 +1.243932595e-01 -5.222560674e+01 -5.222560674e+01 -8.8842e-01 -1.1592e+00 +2.6647e+00 -2.5100e+00 -1.3258e+00 +3.6185e+00 -3.6388e+00 +4.7086e-02 +2.8652e+00 -1.8650e+00
370 0 +1.120323334e-01 -5.223796767e+01 -5.223796767e+01 -9.4951e-01 -1.1213e+00 +2.4262e+00 -2.3724e+00 -1.2391e+00 +3.5643e+00 -3.9819e+00 +9.5101e-02 +2.9590e+00 -1.9112e+00
374 0 +9.270724724e-02 -5.225729275e+01 -5.225729275e+01 -7.1635e-01 -1.2572e+00 +2.6139e+00 -2.4960e+00 -1.4244e+00 +3.7611e+00 -3.7243e+00 +2.1247e-01 +3.1012e+00 -1.6303e+00
392 0 +6.715352078e-02 -5.228284648e+01 -5.228284648e+01 -7.6568e-01 -1.2846e+00 +2.6956e+00 -2.3664e+00 -1.4295e+00 +3.8555e+00 -3.7829e+00 +7.9163e-02 +2.8637e+00 -1.9340e+00
