% f evaluations | g evaluations | best noise-free fitness - Fopt (-5.235000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +3.386096424e+01 -1.848903576e+01 -1.848903576e+01 -3.0617e-01 -3.4727e-01 +1.2371e-01 +1.7652e-02 +5.6993e-02 -6.3912e-02 -1.3196e-01 -2.4647e-01 -1.3536e-01 -8.4729e-02 +2.3530e-01 +2.4752e-02 -5.9430e-03 +3.7953e-01 -1.0736e-02 -2.2160e-01 -4.4243e-01 +3.9342e-01 +2.5080e-01 +8.0015e-03
8 0 +3.200472795e+01 -2.034527205e+01 -2.034527205e+01 -3.6781e-01 -1.5183e-02 +2.1611e-01 -2.5919e-02 +3.8016e-01 +1.6595e-01 -4.9711e-01 +9.4362e-02 +2.0213e-01 -3.6761e-01 +3.4053e-01 +2.6578e-01 +3.1859e-01 +4.9882e-02 +5.7302e-02 +8.7561e-02 -4.4181e-01 -1.4890e-01 -7.4052e-01 -4.3967e-01
13 0 +2.951470452e+01 -2.283529548e+01 -2.283529548e+01 -9.7298e-02 -1.3755e-01 -4.0720e-01 -2.5135e-01 -1.8689e-01 -7.1166e-02 -1.5144e-01 -2.4378e-01 -2.1425e-01 -8.7168e-01 +5.2547e-01 -7.6575e-02 +4.2783e-01 -7.0240e-01 +6.0872e-01 -6.6451e-02 -2.3919e-01 -9.8754e-02 -4.2195e-01 -6.4476e-01
19 0 +2.837796692e+01 -2.397203308e+01 -2.397203308e+01 +1.8506e-01 +2.6576e-01 +2.5368e-01 -3.8129e-01 +1.3100e-01 +5.1045e-01 +6.5794e-02 -3.7408e-01 -4.4275e-02 -3.3905e-01 +5.0591e-01 +6.4565e-01 +2.8750e-01 +2.6455e-01 +4.4003e-01 -2.3991e-01 -7.4640e-01 -4.1878e-01 +1.2762e-01 -2.3444e-01
26 0 +2.682196859e+01 -2.552803141e+01 -2.552803141e+01 -7.4567e-03 +1.7871e-01 -8.9779e-02 -1.3328e-01 -1.8956e-01 -1.2159e-01 -8.5808e-01 -2.3710e-01 -2.0744e-01 -7.0561e-01 +3.1013e-01 -4.9013e-02 +1.4047e-01 -1.3929e-01 +8.3290e-02 -1.6237e-01 -4.7147e-01 +5.4738e-04 +1.9494e-01 -4.4441e-01
47 0 +2.626704907e+01 -2.608295093e+01 -2.608295093e+01 -1.7218e-02 -2.2698e-01 +1.5184e-01 -5.4988e-01 +3.3778e-01 -1.1766e-01 -3.4180e-01 -5.1437e-01 -2.3812e-01 -3.3340e-01 +5.6909e-01 -1.4780e-01 -1.5922e-01 +2.9515e-01 +4.6499e-01 -4.7064e-01 +1.5583e-01 -3.7895e-01 +1.1913e-01 -9.5320e-01
55 0 +2.560339481e+01 -2.674660519e+01 -2.674660519e+01 -3.2311e-02 +1.7687e-01 +2.5572e-02 -2.2780e-01 +9.6599e-02 +4.8664e-03 -8.8869e-02 -4.2355e-01 +1.9943e-02 -8.2224e-01 +2.1814e-01 +1.6245e-01 -9.1102e-02 -3.5522e-01 +1.2132e+00 -1.0034e-01 -9.2317e-01 +4.1804e-01 -2.2818e-02 -9.6175e-01
59 0 +2.419632237e+01 -2.815367763e+01 -2.815367763e+01 -5.3294e-01 -9.3386e-02 +1.7040e-01 +2.9775e-01 -2.1575e-02 +3.5332e-01 -2.2370e-01 -7.4207e-01 -7.7939e-03 -7.5508e-01 +2.2764e-01 +5.9530e-02 -2.0616e-01 +8.7333e-02 +3.8490e-01 -4.0709e-01 -4.4800e-03 +2.4892e-01 +1.6082e-01 -7.2084e-01
64 0 +2.235684590e+01 -2.999315410e+01 -2.999315410e+01 -6.3468e-01 +1.9209e-01 +3.2664e-01 -1.5308e-01 +2.7487e-01 +3.5094e-01 -3.9585e-01 -6.1127e-01 +5.4235e-01 -1.2301e+00 +2.4797e-01 -7.7936e-01 -4.7621e-01 +3.5731e-02 +4.3853e-01 -5.3466e-01 -1.8749e-02 +4.2516e-02 +9.9511e-02 -1.0518e+00
66 0 +2.069170784e+01 -3.165829216e+01 -3.165829216e+01 -7.9384e-02 -2.9748e-01 +4.5244e-01 +5.6854e-01 -9.2659e-02 +8.2141e-01 +2.7629e-02 -5.1937e-01 +3.2725e-01 -1.2389e+00 +9.2010e-01 +2.6697e-02 -1.3674e-01 -2.9229e-01 +7.9355e-01 -2.9113e-01 -3.5181e-01 +8.3809e-02 +3.4885e-01 -1.0642e+00
